"part_id","panel_id","part_occupation","part_education","multiple_contacts_child_work","multiple_contacts_child_school","multiple_contacts_child_other","multiple_contacts_adult_work","multiple_contacts_adult_school","multiple_contacts_adult_other","multiple_contacts_older_adult_work","multiple_contacts_older_adult_school","multiple_contacts_older_adult_other","multiple_contacts_child_work_phys","multiple_contacts_child_school_phys","multiple_contacts_child_other_phys","multiple_contacts_adult_work_phys","multiple_contacts_adult_school_phys","multiple_contacts_adult_other_phys","multiple_contacts_older_adult_work_phys","multiple_contacts_older_adult_school_phys","multiple_contacts_older_adult_other_phys"
1238106,12381,"other employee who mainly performs office work","Without a diploma or primary education",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1238206,12382,"non-skilled worker","General lower secondary education (first 3 years completed)",0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1238406,12384,NA,NA,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238506,12385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238606,12386,"middle management, that is not part of the general management, responsible for 6 employees or more","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238906,12389,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239106,12391,"middle management, that is not part of the general management, responsible for 6 employees or more","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239206,12392,"retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239306,12393,"pre-retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1239406,12394,"other employee who mainly performs office work","General upper secondary education (6 years completed)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1239706,12397,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240006,12400,"non-skilled worker","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240106,12401,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240206,12402,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240406,12404,"other","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240606,12406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240706,12407,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240806,12408,"non-skilled worker","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240906,12409,"unable for work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241006,12410,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241106,12411,"unemployed","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241206,12412,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241306,12413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241406,12414,"unable for work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241506,12415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241606,12416,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241706,12417,"retired","General upper secondary education (6 years completed)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1241806,12418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1241906,12419,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242006,12420,"middle management, that is not part of the general management, responsible for 6 employees or more","University education: bachelor's degree, post-graduate, master's degree",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1242206,12422,"middle management, that is not part of the general management, responsible for 6 employees or more","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242306,12423,"skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242406,12424,"non-skilled worker","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242506,12425,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1242606,12426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242706,12427,NA,NA,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
1242806,12428,"retired","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242906,12429,"retired","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243206,12432,"other employee who does not do office work (eg teacher, nurses ...)","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243306,12433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243406,12434,"other employee who mainly performs office work","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243506,12435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243706,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243806,12438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244006,12440,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244206,12442,"skilled worker","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244306,12443,"other employee who mainly performs office work","Doctorate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244406,12444,"middle management, that is not part of the general management, responsible for 6 employees or more","Complementary master",0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0
1244606,12446,"retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244806,12448,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244906,12449,"retired","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1245106,12451,"other employee who does not do office work (eg teacher, nurses ...)","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245406,12454,"liberal profession or profession for which qualification is required","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245606,12456,"unable for work","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245906,12459,"unable for work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246106,12461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246306,12463,"unemployed","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246406,12464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246706,12467,NA,NA,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1246806,12468,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246906,12469,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247006,12470,"unable for work","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247106,12471,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247206,12472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247306,12473,"other employee who mainly performs office work","General upper secondary education (6 years completed)",0,0,0,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1247506,12475,NA,NA,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2
1247906,12479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248006,12480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248206,12482,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248306,12483,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248406,12484,"other employee who does not do office work (eg teacher, nurses ...)","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248506,12485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248606,12486,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248706,12487,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248806,12488,"non-skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249006,12490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249106,12491,"non-skilled worker","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249206,12492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249306,12493,"retired","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249506,12495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249606,12496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249706,12497,"non-skilled worker","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249806,12498,"other employee who does not do office work (eg teacher, nurses ...)","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249906,12499,"retired","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1250006,12500,"craftsman, trader with 5 employees or less","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250206,12502,"retired","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250506,12505,"retired","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250706,12507,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251106,12511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251206,12512,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251406,12514,"other employee who mainly performs office work","Technical or artistic upper secondary education (6 years)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1251506,12515,"non-skilled worker","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251606,12516,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251706,12517,"middle management, that is not part of the general management, responsible for 5 employees or less","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1251806,12518,NA,NA,0,0,2,0,0,15,0,0,0,0,0,0,0,0,20,0,0,0
1251906,12519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252006,12520,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252106,12521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252206,12522,"unable for work","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252506,12525,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0
1252606,12526,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252806,12528,"pre-retired","Higher education: graduat, candidature, bachelor",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1252906,12529,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253006,12530,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253106,12531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253306,12533,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253406,12534,"other employee who mainly performs office work","General upper secondary education (6 years completed)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
1253506,12535,"retired","Higher education: graduat, candidature, bachelor",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1253606,12536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253706,12537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253806,12538,"skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1253906,12539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254106,12541,"other employee who mainly performs office work","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254306,12543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254406,12544,"retired","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
1254706,12547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255106,12551,"middle management, that is not part of the general management, responsible for 5 employees or less","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255206,12552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255306,12553,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255406,12554,"unemployed","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255506,12555,"unable for work","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255606,12556,NA,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1255906,12559,"non-skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256206,12562,"unable for work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256406,12564,"unable for work","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256606,12566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256706,12567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256806,12568,"other employee who does not do office work (eg teacher, nurses ...)","Technical or artistic upper secondary education (6 years)",0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1257006,12570,NA,NA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257106,12571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257306,12573,"other employee who does not do office work (eg teacher, nurses ...)","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257506,12575,"unable for work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257606,12576,NA,NA,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,2,2,0
1257706,12577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257806,12578,"other employee who mainly performs office work","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257906,12579,"craftsman, trader with 5 employees or less","Professional upper secondary (6 years)",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1258006,12580,"pre-retired","Without a diploma or primary education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258106,12581,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258406,12584,"retired","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258506,12585,"retired","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258606,12586,"other employee who mainly performs office work","General upper secondary education (6 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258806,12588,"middle management, that is not part of the general management, responsible for 6 employees or more","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258906,12589,"retired","Higher education: graduat, candidature, bachelor",0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0
1259106,12591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259206,12592,"retired","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259506,12595,"retired","Professional upper secondary (6 years)",0,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0
1259606,12596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259706,12597,"other employee who does not do office work (eg teacher, nurses ...)","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259806,12598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260006,12600,"middle management, that is not part of the general management, responsible for 5 employees or less","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260106,12601,"skilled worker","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260206,12602,"retired","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260306,12603,"middle management, that is not part of the general management, responsible for 5 employees or less","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260406,12604,"middle management, that is not part of the general management, responsible for 5 employees or less","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260506,12605,"house man or housewife","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260606,12606,"skilled worker","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260906,12609,"retired","Without a diploma or primary education",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1261206,12612,NA,NA,1,0,0,40,0,0,10,0,0,0,0,0,3,0,0,0,0,0
1261406,12614,"unable for work","General upper secondary education (6 years completed)",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1261506,12615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261706,12617,"skilled worker","General upper secondary education (6 years completed)",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262006,12620,"unable for work","Doctorate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262106,12621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262206,12622,"unable for work","Complementary master",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262406,12624,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262606,12626,"other employee who mainly performs office work","University education: bachelor's degree, post-graduate, master's degree",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1262806,12628,"unable for work","Professional upper secondary (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262906,12629,"unable for work","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263006,12630,"retired","General lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263106,12631,"unable for work","Technical or artistic upper secondary education (6 years)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263206,12632,"craftsman, trader with 5 employees or less","Higher education: graduat, candidature, bachelor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263606,12636,"unable for work","Technical, artistic or professional lower secondary education (first 3 years completed)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1263706,12637,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
